#Read position (bp)	Clipping profile
0.0	4.696008315363255
1.0	0.8734234164352533
2.0	0.8548069315378768
3.0	0.8470500628306366
4.0	0.8377418203819481
5.0	0.8222280829674676
6.0	0.8144712142602274
7.0	0.7958547293628508
8.0	0.7803409919483703
9.0	0.7570703858266495
10.0	0.7477621433779611
11.0	0.741556648412169
12.0	0.6857071937200391
13.0	0.6795016987542469
14.0	0.6593338401154223
15.0	0.654679718891078
16.0	0.6422687289594936
17.0	0.6391659814765975
18.0	0.6345118602522534
19.0	0.6283063652864611
20.0	0.625203617803565
21.0	0.6314091127693573
22.0	0.6391659814765975
23.0	0.6283063652864611
24.0	0.6267549915450131
25.0	0.625203617803565
26.0	0.6205494965792209
27.0	0.6267549915450131
28.0	0.622100870320669
29.0	0.625203617803565
30.0	2.3006872585674616
31.0	1.7778743076994679
32.0	0.7896492343970586
33.0	0.6034843854232923
34.0	0.77258412324113
35.0	0.5879706480088118
36.0	4.1499247583735395
37.0	0.5802137793015716
38.0	0.6174467490963248
39.0	0.5662514156285391
40.0	2.85142493678152
41.0	0.5615972944041949
42.0	0.8703206689523574
43.0	0.7244915372562404
44.0	0.5926247692331559
45.0	0.5460835569897144
46.0	0.7074264261003118
47.0	0.5476349307311624
48.0	0.5476349307311624
49.0	0.5383266882824742
50.0	0.532121193316682
51.0	0.5274670720923378
52.0	0.5166074559022014
53.0	0.5150560821607533
54.0	0.507299213453513
55.0	0.4995423447462728
56.0	0.4995423447462728
57.0	0.4979909710048248
58.0	0.4840286073317923
59.0	0.47782311236600006
60.0	0.4530011325028313
61.0	0.4530011325028313
62.0	0.4530011325028313
63.0	0.46075800121007154
64.0	0.46541212243441565
65.0	0.4685148699173118
66.0	0.46541212243441565
67.0	0.4669634961758637
68.0	0.4095626677422858
69.0	0.532121193316682
70.0	0.4126654152251819
71.0	0.4064599202593897
72.0	0.4080112940008377
73.0	0.41421678896662995
74.0	0.4111140414837338
75.0	0.4126654152251819
76.0	0.4095626677422858
77.0	0.40180579903504554
78.0	0.4033571727764936
79.0	0.4033571727764936
80.0	0.41421678896662995
81.0	0.41576816270807804
82.0	0.41421678896662995
83.0	0.41421678896662995
84.0	0.4126654152251819
85.0	0.4235250314153183
86.0	0.4219736576738702
87.0	0.41887091019097406
88.0	0.4204222839324222
89.0	0.4374873950883507
90.0	0.445244263795591
91.0	0.45920662746862345
92.0	0.4623093749515196
93.0	0.4561038799857273
94.0	0.4700662436587598
95.0	0.46541212243441565
96.0	0.47316899114165595
97.0	0.4824772335903443
98.0	0.4886827285561364
99.0	0.4871313548146884
100.0	0.505747839712065
101.0	0.4995423447462728
102.0	0.5010937184877209
103.0	0.5041964659706171
104.0	0.5615972944041949
105.0	0.5445321832482664
106.0	0.5414294357653703
107.0	0.536775314541026
108.0	0.5476349307311624
109.0	0.5460835569897144
110.0	0.5491863044726105
111.0	0.5569431731798508
112.0	0.5553917994384027
113.0	0.564700041887091
114.0	0.5662514156285391
115.0	0.5569431731798508
116.0	0.5631486681456429
117.0	0.5507376782140585
118.0	0.5476349307311624
119.0	0.5491863044726105
120.0	0.536775314541026
121.0	0.5584945469212987
122.0	0.5600459206627469
123.0	0.5631486681456429
124.0	0.5662514156285391
125.0	0.5662514156285391
126.0	0.5740082843357793
127.0	0.5786624055601235
128.0	0.6127926278719806
129.0	0.6189981228377729
130.0	0.6422687289594936
131.0	0.6484742239252859
132.0	0.6515769714081819
133.0	0.6562310926325261
134.0	0.6717448300470066
135.0	0.6732962037884547
136.0	0.6857071937200391
137.0	0.6919126886858312
138.0	0.7089777998417599
139.0	0.712080547324656
140.0	0.7074264261003118
141.0	0.7074264261003118
142.0	0.7136319210661041
143.0	0.7198374160318962
144.0	0.7275942847391365
145.0	0.7322484059634806
146.0	0.7291456584805845
147.0	0.7058750523588637
148.0	0.6888099412029351
149.0	0.6857071937200391
150.0	0.6081385066476365
