#Insert size (bp)	insert size
481.0	19.0
482.0	14.0
483.0	11.0
484.0	16.0
485.0	9.0
486.0	20.0
487.0	21.0
488.0	23.0
489.0	14.0
490.0	13.0
491.0	23.0
492.0	13.0
493.0	18.0
494.0	10.0
495.0	19.0
496.0	8.0
497.0	20.0
498.0	23.0
499.0	15.0
500.0	13.0
501.0	18.0
502.0	13.0
503.0	11.0
504.0	12.0
505.0	14.0
506.0	20.0
507.0	21.0
508.0	19.0
509.0	19.0
510.0	13.0
511.0	11.0
512.0	26.0
513.0	18.0
514.0	12.0
515.0	13.0
516.0	12.0
517.0	18.0
518.0	17.0
519.0	8.0
520.0	10.0
521.0	16.0
522.0	11.0
523.0	12.0
524.0	8.0
525.0	18.0
526.0	11.0
527.0	16.0
528.0	12.0
529.0	9.0
530.0	27.0
531.0	12.0
532.0	8.0
533.0	15.0
534.0	16.0
535.0	16.0
536.0	10.0
537.0	13.0
538.0	10.0
539.0	16.0
540.0	16.0
541.0	14.0
542.0	11.0
543.0	6.0
544.0	7.0
545.0	16.0
546.0	10.0
547.0	15.0
548.0	9.0
549.0	15.0
550.0	17.0
551.0	16.0
552.0	10.0
553.0	13.0
554.0	11.0
555.0	17.0
556.0	9.0
557.0	13.0
558.0	16.0
559.0	10.0
560.0	10.0
561.0	9.0
562.0	12.0
563.0	9.0
564.0	9.0
565.0	11.0
566.0	13.0
567.0	4.0
568.0	6.0
569.0	10.0
570.0	8.0
571.0	10.0
572.0	8.0
573.0	9.0
574.0	4.0
575.0	7.0
576.0	8.0
577.0	4.0
578.0	6.0
579.0	12.0
580.0	9.0
581.0	11.0
582.0	6.0
583.0	10.0
584.0	10.0
585.0	5.0
586.0	6.0
587.0	12.0
588.0	7.0
589.0	8.0
590.0	4.0
591.0	4.0
592.0	13.0
593.0	6.0
594.0	4.0
595.0	9.0
596.0	9.0
597.0	8.0
598.0	7.0
599.0	7.0
600.0	9.0
601.0	8.0
602.0	6.0
603.0	12.0
604.0	13.0
605.0	10.0
606.0	13.0
607.0	12.0
608.0	11.0
609.0	5.0
610.0	11.0
611.0	6.0
612.0	2.0
613.0	8.0
614.0	12.0
615.0	8.0
616.0	4.0
617.0	6.0
618.0	14.0
619.0	4.0
620.0	4.0
621.0	3.0
622.0	6.0
623.0	7.0
624.0	7.0
625.0	7.0
626.0	7.0
627.0	7.0
628.0	7.0
629.0	6.0
630.0	6.0
631.0	7.0
632.0	7.0
633.0	1.0
634.0	4.0
635.0	5.0
636.0	7.0
637.0	4.0
638.0	5.0
639.0	6.0
640.0	4.0
641.0	7.0
642.0	6.0
643.0	6.0
644.0	4.0
645.0	5.0
646.0	10.0
647.0	11.0
648.0	7.0
649.0	2.0
650.0	3.0
651.0	4.0
652.0	4.0
653.0	4.0
654.0	2.0
655.0	9.0
656.0	2.0
657.0	6.0
658.0	6.0
659.0	4.0
660.0	4.0
661.0	4.0
662.0	7.0
663.0	4.0
664.0	2.0
665.0	2.0
666.0	5.0
667.0	11.0
668.0	6.0
669.0	4.0
670.0	5.0
671.0	3.0
672.0	7.0
673.0	5.0
674.0	6.0
675.0	4.0
676.0	3.0
678.0	2.0
679.0	4.0
680.0	5.0
681.0	2.0
682.0	6.0
683.0	6.0
684.0	6.0
685.0	5.0
686.0	1.0
687.0	7.0
688.0	5.0
689.0	5.0
690.0	3.0
691.0	2.0
692.0	1.0
693.0	3.0
694.0	4.0
695.0	1.0
696.0	1.0
697.0	7.0
698.0	5.0
700.0	3.0
701.0	4.0
702.0	5.0
703.0	5.0
704.0	1.0
705.0	2.0
706.0	5.0
707.0	6.0
708.0	3.0
709.0	1.0
710.0	2.0
711.0	2.0
712.0	3.0
713.0	3.0
714.0	4.0
715.0	5.0
716.0	1.0
717.0	2.0
718.0	1.0
719.0	2.0
720.0	3.0
721.0	3.0
722.0	5.0
723.0	5.0
726.0	1.0
728.0	1.0
729.0	2.0
730.0	3.0
731.0	3.0
732.0	2.0
733.0	4.0
735.0	1.0
736.0	1.0
737.0	1.0
738.0	2.0
739.0	3.0
740.0	2.0
741.0	1.0
742.0	1.0
743.0	4.0
744.0	2.0
745.0	1.0
746.0	5.0
747.0	4.0
748.0	1.0
750.0	1.0
751.0	4.0
752.0	2.0
753.0	1.0
754.0	1.0
755.0	4.0
756.0	1.0
757.0	2.0
758.0	4.0
759.0	2.0
760.0	1.0
761.0	3.0
762.0	1.0
763.0	2.0
764.0	2.0
765.0	1.0
766.0	4.0
767.0	3.0
768.0	2.0
769.0	1.0
770.0	1.0
771.0	1.0
772.0	3.0
773.0	2.0
774.0	1.0
775.0	3.0
777.0	1.0
778.0	1.0
779.0	2.0
781.0	1.0
782.0	3.0
783.0	2.0
784.0	2.0
785.0	3.0
786.0	1.0
788.0	3.0
790.0	2.0
791.0	1.0
792.0	3.0
793.0	3.0
794.0	3.0
795.0	1.0
797.0	1.0
798.0	2.0
799.0	4.0
801.0	1.0
802.0	1.0
803.0	2.0
804.0	2.0
805.0	1.0
806.0	2.0
808.0	2.0
810.0	1.0
811.0	2.0
813.0	2.0
814.0	1.0
815.0	3.0
816.0	1.0
817.0	1.0
818.0	2.0
820.0	1.0
821.0	3.0
824.0	1.0
825.0	1.0
828.0	1.0
829.0	2.0
830.0	3.0
831.0	1.0
832.0	2.0
833.0	2.0
834.0	3.0
835.0	1.0
838.0	1.0
840.0	1.0
842.0	1.0
843.0	1.0
848.0	1.0
850.0	1.0
851.0	2.0
852.0	3.0
856.0	1.0
863.0	1.0
864.0	2.0
867.0	2.0
869.0	1.0
871.0	1.0
873.0	1.0
874.0	3.0
875.0	1.0
877.0	2.0
878.0	2.0
879.0	1.0
880.0	1.0
881.0	1.0
882.0	2.0
883.0	2.0
884.0	2.0
889.0	1.0
892.0	1.0
893.0	2.0
901.0	1.0
902.0	1.0
910.0	1.0
916.0	1.0
926.0	1.0
933.0	1.0
940.0	1.0
941.0	1.0
945.0	1.0
949.0	1.0
952.0	1.0
963.0	2.0
966.0	1.0
974.0	1.0
976.0	1.0
978.0	1.0
988.0	1.0
991.0	1.0
998.0	1.0
1006.0	1.0
1016.0	1.0
1022.0	1.0
