#GC Content (%)	Sample
1.0	4.768717215069146E-4
2.0	4.768717215069146E-4
3.0	0.0
4.0	4.768717215069146E-4
5.0	4.768717215069146E-4
6.0	0.0
7.0	0.0
8.0	4.768717215069146E-4
9.0	4.768717215069146E-4
10.0	0.001430615164520744
11.0	0.0
12.0	0.005245588936576061
13.0	0.002861230329041488
14.0	0.0052455889365760604
15.0	0.002384358607534573
16.0	0.013352408202193609
17.0	0.02670481640438722
18.0	0.06866952789699571
19.0	0.05913209346685742
20.0	0.05913209346685742
21.0	0.05817835002384359
22.0	0.08011444921316167
23.0	0.08917501192179304
24.0	0.0915593705293276
25.0	0.09680495946590366
26.0	0.08488316642823082
27.0	0.06723891273247495
28.0	0.0457796852646638
29.0	0.04053409632808774
30.0	0.035765379113018594
31.0	0.027181688125894134
32.0	0.016213638531235097
33.0	0.009537434430138292
34.0	0.004291845493562232
35.0	0.0033381020505484026
36.0	4.768717215069146E-4
37.0	4.768717215069146E-4
38.0	0.0
39.0	0.0
40.0	4.768717215069146E-4
41.0	4.768717215069146E-4
42.0	0.0
43.0	4.768717215069146E-4
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0
62.0	0.0
63.0	0.0
64.0	0.0
65.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
