#Coverage (X)	Coverage
1.0	89.48406178113703
2.0	89.47091685836345
3.0	89.46434439697667
4.0	89.4446270128163
5.0	89.4446270128163
6.0	89.4446270128163
7.0	89.4446270128163
8.0	89.4446270128163
9.0	89.4446270128163
10.0	89.43805455142952
11.0	89.43805455142952
12.0	89.43148209004272
13.0	89.43148209004272
14.0	89.41833716726914
15.0	89.41176470588236
16.0	89.40519224449557
17.0	89.40519224449557
18.0	89.40519224449557
19.0	89.39204732172199
20.0	89.39204732172199
21.0	89.39204732172199
22.0	89.39204732172199
23.0	89.39204732172199
24.0	89.39204732172199
25.0	89.39204732172199
26.0	89.39204732172199
27.0	89.39204732172199
28.0	89.39204732172199
29.0	89.39204732172199
30.0	89.39204732172199
31.0	89.39204732172199
32.0	89.3854748603352
33.0	89.3854748603352
34.0	89.3854748603352
35.0	89.37890239894841
36.0	89.37232993756163
37.0	89.36575747617484
38.0	89.36575747617484
39.0	89.35261255340126
40.0	89.34604009201446
41.0	89.33289516924089
42.0	89.33289516924089
43.0	89.33289516924089
44.0	89.33289516924089
45.0	89.3263227078541
46.0	89.3263227078541
47.0	89.31975024646731
48.0	89.31317778508053
49.0	89.31317778508053
50.0	89.31317778508053
51.0	89.30003286230695
