#GC Content (%)	Sample
1.0	1.6333197223356472E-4
2.0	3.6749693752552063E-4
3.0	2.8583095140873824E-4
4.0	5.308289097590853E-4
5.0	7.758268681094325E-4
6.0	7.758268681094325E-4
7.0	3.6749693752552063E-4
8.0	6.124948958758676E-4
9.0	0.0015516537362188652
10.0	0.0014291547570436914
11.0	0.0029808084932625564
12.0	0.003593303389138424
13.0	0.006124948958758677
14.0	0.00481829318089016
15.0	0.005798285014291548
16.0	0.007676602694977543
17.0	0.019150673744385463
18.0	0.032666394446712946
19.0	0.03634136382196815
20.0	0.05345038791343406
21.0	0.06394446712944059
22.0	0.07109024091465904
23.0	0.07288689260922826
24.0	0.07639853001224989
25.0	0.08738260514495713
26.0	0.06921192323397304
27.0	0.05839118007349938
28.0	0.05100040832993058
29.0	0.06284197631686403
30.0	0.061453654552878725
31.0	0.04875459371171907
32.0	0.03593303389138424
33.0	0.020988158432013067
34.0	0.009922417313189057
35.0	0.005920783993466721
36.0	0.007676602694977542
37.0	0.006778276847692937
38.0	0.004777460187831767
39.0	0.0028991425071457732
40.0	0.0016741527153940384
41.0	3.674969375255206E-4
42.0	2.4499795835034705E-4
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0
62.0	0.0
63.0	0.0
64.0	0.0
65.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
