#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0019723865877712033
4.0	0.0
5.0	0.0039447731755424065
6.0	0.0019723865877712033
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0019723865877712033
11.0	0.0019723865877712033
12.0	0.0019723865877712033
13.0	0.0
14.0	0.0
15.0	0.0019723865877712033
16.0	0.009861932938856018
17.0	0.01183431952662722
18.0	0.027613412228796843
19.0	0.03155818540433925
20.0	0.04930966469428008
21.0	0.06508875739644972
22.0	0.05719921104536489
23.0	0.07100591715976332
24.0	0.07100591715976332
25.0	0.11045364891518737
26.0	0.08875739644970414
27.0	0.10256410256410256
28.0	0.06706114398422092
29.0	0.029585798816568046
30.0	0.061143984220907305
31.0	0.043392504930966476
32.0	0.029585798816568046
33.0	0.02564102564102564
34.0	0.009861932938856016
35.0	0.00591715976331361
36.0	0.00591715976331361
37.0	0.0039447731755424065
38.0	0.0039447731755424065
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0019723865877712033
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0
62.0	0.0
63.0	0.0
64.0	0.0
65.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
