#Coverage (X)	Coverage
1.0	61.077883667433454
2.0	57.942819585934934
3.0	56.71376930660533
4.0	55.26782780151167
5.0	53.72329937561617
6.0	52.32993756161683
7.0	50.384488991127185
8.0	49.16201117318437
9.0	46.62504107788368
10.0	44.232665133092354
11.0	42.760433782451535
12.0	41.70226749917845
13.0	40.76240552086757
14.0	40.131449227735786
15.0	39.24416694051922
16.0	38.64607295432139
17.0	38.53434111074597
18.0	38.12027604337824
19.0	37.798225435425564
20.0	37.384160368057834
21.0	37.10811698981268
22.0	36.365428853105485
23.0	35.865921787709496
24.0	35.34012487676635
25.0	34.89976996385147
26.0	34.492277357870535
27.0	34.13736444298391
28.0	33.46697338153139
29.0	32.36279986855078
30.0	31.140322050607963
31.0	30.075583305948086
32.0	29.142293789023995
33.0	27.367729214590867
34.0	25.139664804469277
35.0	23.371672691422944
36.0	21.813999342753874
37.0	20.755833059480793
38.0	19.8225435425567
39.0	19.15215248110418
40.0	18.16628327308578
41.0	17.443312520538953
42.0	16.57574761748276
43.0	15.557016102530412
44.0	14.972067039106165
45.0	14.229378902398963
46.0	13.775879066710502
47.0	13.401248767663503
48.0	12.960893854748619
49.0	12.612553401248789
50.0	12.42852448241868
51.0	12.303647716069676
