#GC Content (%)	Sample
1.0	1.510387345700202E-4
2.0	1.647695286218402E-4
3.0	2.059619107773002E-4
4.0	2.0596191077730018E-4
5.0	2.471542929327603E-4
6.0	4.668469977618806E-4
7.0	5.766933501764408E-4
8.0	7.826552609537409E-4
9.0	7.414628787982809E-4
10.0	5.080393799173405E-4
11.0	0.0011945790825083416
12.0	0.0026363124579494427
13.0	0.004682200771670626
14.0	0.002663774046053083
15.0	0.0021831962542393822
16.0	0.004737123947877907
17.0	0.016833953507531342
18.0	0.028944513861236598
19.0	0.032747943813590745
20.0	0.04473492702082961
21.0	0.05636490958272117
22.0	0.06450727045545043
23.0	0.07632948413406747
24.0	0.08002306773400705
25.0	0.0878770819316481
26.0	0.062008265938019204
27.0	0.0539208282414972
28.0	0.053756058712875365
29.0	0.0705213582501476
30.0	0.06842054676021914
31.0	0.05854810583696055
32.0	0.044927158137555094
33.0	0.026349393785442612
34.0	0.011300443504647874
35.0	0.008952477721786653
36.0	0.012124291147757078
37.0	0.006027818588748987
38.0	0.0054373944445207266
39.0	0.0035562756594213845
40.0	0.0027186972222603633
41.0	6.453473204355407E-4
42.0	2.0596191077730026E-4
43.0	1.3730794051820016E-5
44.0	0.0
45.0	2.7461588103640033E-5
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	1.3730794051820016E-5
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0
62.0	1.3730794051820016E-5
63.0	0.0
64.0	0.0
65.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
