#Coverage (X)	Coverage
1.0	89.03713440683536
2.0	88.50476503450543
3.0	88.48504765034505
4.0	88.36674334538284
5.0	87.93296089385476
6.0	87.32829444627014
7.0	86.69076569175157
8.0	85.99408478475189
9.0	85.2513966480447
10.0	83.69372329937562
11.0	82.62241209332896
12.0	80.95300690108445
13.0	79.78968123562274
14.0	78.51462372658561
15.0	77.14097929674664
16.0	75.87906671048307
17.0	75.2415379559645
18.0	74.65001643115346
19.0	74.14393690437069
20.0	73.71015445284259
21.0	73.29608938547486
22.0	72.9608938547486
23.0	72.71114032205061
24.0	72.21820571804142
25.0	71.94873480118305
26.0	71.44265527440027
27.0	71.16003943476832
28.0	70.95629313177785
29.0	70.8642786723628
30.0	70.85113374958922
31.0	70.84456128820244
32.0	70.84456128820244
33.0	70.84456128820244
34.0	70.83141636542886
35.0	70.83141636542886
36.0	70.83141636542886
37.0	70.83141636542886
38.0	70.83141636542886
39.0	70.81827144265529
40.0	70.81827144265529
41.0	70.81169898126849
42.0	70.81169898126849
43.0	70.79198159710813
44.0	70.79198159710813
45.0	70.79198159710813
46.0	70.79198159710813
47.0	70.78540913572134
48.0	70.78540913572134
49.0	70.78540913572134
50.0	70.77883667433454
51.0	70.77883667433454
