#Read position (bp)	Clipping profile
0.0	23.07560530239952
1.0	0.8643959101241836
2.0	0.847209220964646
3.0	0.8377537609092371
4.0	0.8149494160697213
5.0	0.7995981985679983
6.0	0.7900871181593223
7.0	0.7416974108169351
8.0	0.7354679312510185
9.0	0.719282408450289
10.0	0.7077133749707298
11.0	0.701817617524416
12.0	0.6802925408100436
13.0	0.6770109399672841
14.0	0.6647188418952523
15.0	0.6608254171665545
16.0	0.6525936048830221
17.0	0.6493120040402625
18.0	0.6425263209416748
19.0	0.6369642856149637
20.0	0.630178602516376
21.0	0.6186095690368167
22.0	0.6154392089005915
23.0	0.6059281284919154
24.0	0.6018122223501491
25.0	0.5925236233545413
26.0	0.5906881516967267
27.0	0.5836243668318035
28.0	0.5742801474829288
29.0	0.5694967971019571
30.0	0.7862493137838915
31.0	0.7251781658966029
32.0	0.7111062165200236
33.0	0.7032081263560938
34.0	0.7000933865731355
35.0	0.6532054287689603
36.0	0.7022625803505528
37.0	0.6245609468363977
38.0	0.6671661374390053
39.0	0.572444675825114
40.0	0.7882516465015076
41.0	0.5494178495725297
42.0	2.5919640826006742
43.0	0.5270028472058838
44.0	0.5631560768295064
45.0	0.47772321421122277
46.0	0.5045322244859706
47.0	0.4881798406254398
48.0	0.5191047570419539
49.0	0.5020849289422177
50.0	0.45135916676261173
51.0	0.4437947987182846
52.0	0.4505248614636051
53.0	0.42688621132508264
54.0	0.43022343252110934
55.0	0.42443891578132964
56.0	0.43022343252110934
57.0	0.4098663832253464
58.0	0.40118960811567694
59.0	0.4008002656428072
60.0	0.3970180816206436
61.0	0.40352566295289566
62.0	0.38778510297830304
63.0	0.37738409691735314
64.0	0.37549300490627135
65.0	0.39562757278896576
66.0	0.3573051493879258
67.0	0.36314528648097255
68.0	0.35552529808337824
69.0	0.35491347419744
70.0	0.3669830908564033
71.0	0.3543572706647689
72.0	0.36086485199702095
73.0	0.3764385509118123
74.0	0.3786633650424967
75.0	0.37771781903695584
76.0	0.3840029189561394
77.0	0.37860774468922964
78.0	0.37944204998823633
79.0	0.3765497916183465
80.0	0.37349067218865534
81.0	0.37132147841123797
82.0	0.3669274705031362
83.0	0.37154395982430644
84.0	0.3679842572152113
85.0	0.3747143199605318
86.0	0.3689298032207522
87.0	0.3692635253403549
88.0	0.37248950582984736
89.0	0.37349067218865534
90.0	0.36987534922629306
91.0	0.37365753324845663
92.0	0.3717664412373749
93.0	0.37260074653638153
94.0	0.36792863686194416
95.0	0.3667049890900677
96.0	0.3674836740358073
97.0	0.3700978306393615
98.0	0.3719889226504433
99.0	0.3737687739549909
100.0	0.37510366243340154
101.0	0.3785521243359625
102.0	0.3815556234123866
103.0	0.3813331419993181
104.0	0.38622773308682395
105.0	0.3897874356959191
106.0	0.4114793734700926
107.0	0.415150316785722
108.0	0.41787571409581054
109.0	0.413147984068106
110.0	0.42054549105263184
111.0	0.42176913882450834
112.0	0.4324482466517938
113.0	0.43272634841812935
114.0	0.43383875548347156
115.0	0.42716431309141817
116.0	0.4297784696949724
117.0	0.4262187670858773
118.0	0.428610442276363
119.0	0.4331713112442662
120.0	0.44846690839272196
121.0	0.45269405524102246
122.0	0.45363960124656333
123.0	0.45369522159983044
124.0	0.4539177030128989
125.0	0.459924701165747
126.0	0.4613708303506919
127.0	0.4662654214381977
128.0	0.4759989832599423
129.0	0.47716701067855166
130.0	0.4906271361691927
131.0	0.4928519502998771
132.0	0.49668975467530785
133.0	0.4985252263331226
134.0	0.5027523731814231
135.0	0.5028079935346901
136.0	0.5049771873121075
137.0	0.5050328076653746
138.0	0.507702584622196
139.0	0.5088149916875382
140.0	0.5106504633453529
141.0	0.5131533792423729
142.0	0.5278371525048904
143.0	0.5393505656311826
144.0	0.5397399081040523
145.0	0.5408523151693946
146.0	0.5328986046521975
147.0	0.5250005144882677
148.0	0.5164906004383996
149.0	0.5139320641881124
150.0	0.4637068851879106
